State,MonthYear,Verbal Cooperation,Material Cooperation,Verbal Conflict,Material Conflict
USCA,201701,232,49,52,55
USCA,201702,242,54,60,60
USCA,201703,235,52,49,53
USCA,201704,204,47,46,53
USCA,201705,202,43,42,49
USCA,201706,190,43,39,47
USCA,201707,168,37,35,45
USCA,201708,165,38,39,43
USCA,201709,181,40,40,47
USCA,201710,214,48,46,63
USCA,201711,194,43,44,57
USCA,201712,185,47,44,62
USCA,201801,213,50,49,55
USCA,201802,188,41,44,48
USCA,201803,239,52,58,62
USCA,201804,209,47,47,61
USCA,201805,228,50,50,59
USCA,201806,205,47,48,57
USCA,201807,197,45,46,68
USCA,201808,195,45,44,64
USCA,201809,187,39,44,53
USCA,201810,190,41,45,49
USCA,201811,219,53,47,76
USCA,201812,149,37,32,43
USCA,201901,179,39,38,43
USCA,201902,167,38,36,39
USCA,201903,192,41,41,48
USCA,201904,189,40,38,53
USCA,201905,183,41,38,50
USCA,201906,162,36,34,44
USCA,201907,177,38,37,47
USCA,201908,163,37,34,48
USCA,201909,174,37,37,42
USCA,201910,171,37,38,48
USCA,201911,157,35,33,44
USCA,201912,143,32,30,35
USIL,201701,333,70,73,89
USIL,201702,299,67,64,85
USIL,201703,313,72,62,74
USIL,201704,296,68,59,83
USIL,201705,267,61,51,68
USIL,201706,253,61,50,69
USIL,201707,231,60,52,65
USIL,201708,236,67,57,63
USIL,201709,223,54,45,58
USIL,201710,231,50,43,60
USIL,201711,235,56,45,59
USIL,201712,203,51,39,56
USIL,201801,250,57,50,62
USIL,201802,254,57,50,65
USIL,201803,287,61,64,74
USIL,201804,245,58,48,70
USIL,201805,261,58,46,72
USIL,201806,234,59,49,69
USIL,201807,230,53,50,68
USIL,201808,241,55,51,71
USIL,201809,235,51,52,66
USIL,201810,269,58,58,75
USIL,201811,243,57,52,81
USIL,201812,185,45,38,52
USIL,201901,230,56,50,72
USIL,201902,266,61,55,89
USIL,201903,285,70,66,86
USIL,201904,263,61,56,68
USIL,201905,266,60,50,70
USIL,201906,243,59,45,63
USIL,201907,225,51,44,64
USIL,201908,224,51,45,65
USIL,201909,205,46,42,54
USIL,201910,239,53,50,58
USIL,201911,194,45,40,56
USIL,201912,183,46,38,57
USNY,201701,472,93,109,107
USNY,201702,436,83,107,106
USNY,201703,457,96,110,98
USNY,201704,345,68,78,78
USNY,201705,379,75,76,79
USNY,201706,333,71,69,79
USNY,201707,320,64,65,77
