State,MonthYear,Verbal Cooperation,Material Cooperation,Verbal Conflict,Material Conflict
USCA,201901,72092,15823,15180,17410
USCA,201902,67112,15127,14395,15778
USCA,201903,77262,16433,16526,19403
USCA,201904,76143,16141,15318,21391
USCA,201905,73765,16451,15435,20199
USCA,201906,64963,14494,13554,17781
USCA,201907,70999,15426,14750,18813
USCA,201908,65547,14701,13721,19194
USCA,201909,69795,14952,14747,16748
USCA,201910,68880,15074,15432,19448
USCA,201911,63201,14018,13128,17756
USCA,201912,57320,12954,12215,13966
USIL,201901,29438,7159,6357,9240
USIL,201902,34005,7750,7062,11395
USIL,201903,36467,8978,8459,11042
USIL,201904,33733,7819,7213,8708
USIL,201905,34034,7694,6378,8980
USIL,201906,31182,7519,5820,8030
USIL,201907,28770,6549,5663,8145
USIL,201908,28687,6483,5814,8333
USIL,201909,26202,5885,5395,6978
USIL,201910,30598,6773,6460,7441
USIL,201911,24851,5804,5144,7121
USIL,201912,23412,5868,4904,7288
USNY,201901,63447,13943,13565,14350
USNY,201902,63391,13282,14778,13727
USNY,201903,67880,13861,15179,16907
USNY,201904,65499,13279,14440,15605
USNY,201905,64727,13184,14134,14809
USNY,201906,61147,12079,13882,16097
USNY,201907,62445,12638,14652,14594
USNY,201908,60494,12290,15302,14421
USNY,201909,82839,13280,16655,14468
USNY,201910,64231,12795,14025,14271
USNY,201911,57320,11909,13342,12272
USNY,201912,55125,11979,13097,14223
USTX,201901,49250,11905,9120,14869
USTX,201902,49344,11500,10536,14029
USTX,201903,52834,12438,10478,15310
USTX,201904,50440,11190,10267,15153
USTX,201905,52397,12419,9698,16154
USTX,201906,47024,11630,9037,14532
USTX,201907,49167,11058,9293,13745
USTX,201908,63390,13347,14119,27818
USTX,201909,57604,11604,10327,19793
USTX,201910,53666,11544,10464,19471
USTX,201911,41828,9555,7628,13276
USTX,201912,37874,9266,7047,15152
