State,MonthYear,Verbal Cooperation,Material Cooperation,Verbal Conflict,Material Conflict
USCA,201701,91456,19332,20514,21542
USCA,201702,95172,21106,23490,23836
USCA,201703,92400,20400,19303,20742
USCA,201704,80226,18399,17938,20796
USCA,201705,79451,17085,16624,19123
USCA,201706,74693,16816,15274,18438
USCA,201707,66004,14602,13812,17848
USCA,201708,65199,14983,15198,16778
USCA,201709,71421,15905,15748,18508
USCA,201710,84218,18962,18191,25014
USCA,201711,76363,17071,17206,22281
USCA,201712,72960,18366,17288,24286
USCA,201801,83036,19614,19165,21453
USCA,201802,73292,16113,17075,18903
USCA,201803,93146,20422,22770,24387
USCA,201804,81550,18389,18189,23685
USCA,201805,89139,19668,19553,22916
USCA,201806,80201,18296,18900,22337
USCA,201807,76992,17439,17883,26467
USCA,201808,76160,17422,17218,24993
USCA,201809,73060,15093,17092,20740
USCA,201810,74321,15928,17504,19072
USCA,201811,85483,20656,18214,29787
USCA,201812,59793,15068,12875,17449
USCA,201901,72092,15823,15180,17410
USCA,201902,67112,15127,14395,15778
USCA,201903,77262,16433,16526,19403
USCA,201904,76143,16141,15318,21391
USCA,201905,73765,16451,15435,20199
USCA,201906,64963,14494,13554,17781
USCA,201907,70999,15426,14750,18813
USCA,201908,65547,14701,13721,19194
USCA,201909,69795,14952,14747,16748
USCA,201910,68880,15074,15432,19448
USCA,201911,63201,14018,13128,17756
USCA,201912,57320,12954,12215,13966
USIL,201701,42549,8889,9293,11404
USIL,201702,38181,8544,8122,10863
USIL,201703,39966,9147,7883,9418
USIL,201704,37789,8674,7584,10670
USIL,201705,34122,7789,6573,8683
USIL,201706,32379,7822,6420,8797
USIL,201707,29559,7673,6619,8368
USIL,201708,30150,8530,7243,8107
USIL,201709,28499,6900,5745,7396
USIL,201710,29482,6436,5444,7661
USIL,201711,29999,7142,5804,7500
USIL,201712,25929,6558,5042,7206
USIL,201801,31418,7142,6261,7777
USIL,201802,31937,7145,6297,8186
USIL,201803,36077,7714,8043,9331
USIL,201804,30839,7341,6056,8842
USIL,201805,32778,7278,5772,9039
USIL,201806,29495,7387,6113,8672
USIL,201807,28952,6728,6331,8548
USIL,201808,30285,6913,6429,8932
USIL,201809,29544,6372,6498,8316
USIL,201810,33796,7247,7240,9414
USIL,201811,30570,7168,6543,10245
USIL,201812,23223,5673,4807,6533
USIL,201901,29438,7159,6357,9240
USIL,201902,34005,7750,7062,11395
USIL,201903,36467,8978,8459,11042
USIL,201904,33733,7819,7213,8708
USIL,201905,34034,7694,6378,8980
USIL,201906,31182,7519,5820,8030
USIL,201907,28770,6549,5663,8145
USIL,201908,28687,6483,5814,8333
USIL,201909,26202,5885,5395,6978
USIL,201910,30598,6773,6460,7441
USIL,201911,24851,5804,5144,7121
USIL,201912,23412,5868,4904,7288
USNY,201701,92508,18241,21296,20885
USNY,201702,85504,16352,20924,20697
USNY,201703,89593,18721,21622,19275
USNY,201704,67645,13350,15340,15242
USNY,201705,74265,14662,14898,15443
USNY,201706,65249,13874,13585,15425
USNY,201707,62627,12530,12753,15176
USNY,201708,55352,11700,12958,12819
USNY,201709,77140,13059,14195,14106
USNY,201710,68469,14327,15000,16017
USNY,201711,69574,13714,15927,18314
USNY,201712,58051,12856,14404,14588
USNY,201801,63857,13790,14876,13786
USNY,201802,56719,12383,12624,13015
USNY,201803,71288,15160,15916,16304
USNY,201804,67615,14875,14659,17526
USNY,201805,79077,17101,17039,16744
USNY,201806,66226,14352,14864,14453
USNY,201807,62279,13941,14305,14587
USNY,201808,67510,14362,15692,15079
USNY,201809,84565,13977,17512,15799
USNY,201810,73256,15370,16668,16122
USNY,201811,64835,12725,13877,14947
USNY,201812,53987,12075,12190,13391
USNY,201901,63447,13943,13565,14350
USNY,201902,63391,13282,14778,13727
USNY,201903,67880,13861,15179,16907
USNY,201904,65499,13279,14440,15605
USNY,201905,64727,13184,14134,14809
USNY,201906,61147,12079,13882,16097
USNY,201907,62445,12638,14652,14594
USNY,201908,60494,12290,15302,14421
USNY,201909,82839,13280,16655,14468
USNY,201910,64231,12795,14025,14271
USNY,201911,57320,11909,13342,12272
USNY,201912,55125,11979,13097,14223
USTX,201701,59891,13141,11859,16281
USTX,201702,56740,12527,11890,16862
USTX,201703,59538,13571,11815,17307
USTX,201704,49578,11622,9945,14333
USTX,201705,55340,12573,11387,17572
USTX,201706,47017,11183,9557,14740
USTX,201707,46529,10544,8944,14559
USTX,201708,58852,16598,11012,14440
USTX,201709,67112,19908,11218,14471
USTX,201710,52298,13052,9695,15546
USTX,201711,60106,13247,11219,26447
USTX,201712,41663,10702,8112,13963
USTX,201801,45231,11282,8503,13642
USTX,201802,46155,10274,8600,13776
USTX,201803,54962,12372,10891,16110
USTX,201804,52612,11306,9665,15565
USTX,201805,62658,13134,11835,21498
USTX,201806,55681,12368,11943,16216
USTX,201807,49041,12176,9952,16445
USTX,201808,51629,12205,9657,18429
USTX,201809,49116,11861,9851,17043
USTX,201810,54322,12257,10911,15500
USTX,201811,48728,11093,9224,13907
USTX,201812,44339,9791,7995,13026
USTX,201901,49250,11905,9120,14869
USTX,201902,49344,11500,10536,14029
USTX,201903,52834,12438,10478,15310
USTX,201904,50440,11190,10267,15153
USTX,201905,52397,12419,9698,16154
USTX,201906,47024,11630,9037,14532
USTX,201907,49167,11058,9293,13745
USTX,201908,63390,13347,14119,27818
USTX,201909,57604,11604,10327,19793
USTX,201910,53666,11544,10464,19471
USTX,201911,41828,9555,7628,13276
USTX,201912,37874,9266,7047,15152
