Year,Month_num,Month,City,Avg Temperature,Clear (hrs),Scattered (hrs),Overcast (hrs)
2015,1,Jan,DFW,44.5,114,,
2015,2,Feb,DFW,45.7,127,,
2015,3,Mar,DFW,56.1,75,,
2015,4,Apr,DFW,65.8,77,,
2015,5,May,DFW,70.9,19,,
2015,6,Jun,DFW,82.1,85,,
2015,7,Jul,DFW,87.1,175,,
2015,8,Aug,DFW,87.3,,,
2015,9,Sep,DFW,82.7,,,
2015,10,Oct,DFW,71.2,,,
2015,11,Nov,DFW,58.7,,,
2015,12,Dec,DFW,53.6,,,
2016,1,Jan,DFW,47,,,
2016,2,Feb,DFW,55.2,,,
2016,3,Mar,DFW,61.2,,,
2016,4,Apr,DFW,68.1,,,
2016,5,May,DFW,72.5,,,
2016,6,Jun,DFW,84,,,
2016,7,Jul,DFW,87.4,,,
2016,8,Aug,DFW,85.8,,,
2016,9,Sep,DFW,81.5,,,
2016,10,Oct,DFW,74.1,,,
2016,11,Nov,DFW,63.5,,,
2016,12,Dec,DFW,49.7,,,
2017,1,Jan,DFW,51.2,,,
2017,2,Feb,DFW,60.6,,,
2017,3,Mar,DFW,65.7,,,
2017,4,Apr,DFW,69.3,,,
2017,5,May,DFW,75.4,,,
2017,6,Jun,DFW,82.5,,,
2017,7,Jul,DFW,86.6,,,
2017,8,Aug,DFW,84.4,,,
2017,9,Sep,DFW,80.6,,,
2017,10,Oct,DFW,69.6,,,
2017,11,Nov,DFW,62.4,,,
2017,12,Dec,DFW,49.7,,,
2018,1,Jan,DFW,45.8,,,
2018,2,Feb,DFW,51.1,,,
2018,3,Mar,DFW,63.3,,,
2018,4,Apr,DFW,61.6,,,
2018,5,May,DFW,79,,,
2018,6,Jun,DFW,85.7,,,
2018,7,Jul,DFW,88.8,,,
2018,8,Aug,DFW,85.2,,,
2018,9,Sep,DFW,78.1,,,
2018,10,Oct,DFW,66.2,,,
2018,11,Nov,DFW,52.5,,,
2018,12,Dec,DFW,48.4,,,
2019,1,Jan,DFW,45.8,,,
2019,2,Feb,DFW,50.2,,,
2019,3,Mar,DFW,55,,,
2019,4,Apr,DFW,66,,,
2019,5,May,DFW,73.4,,,
2019,6,Jun,DFW,79.9,,,
2019,7,Jul,DFW,84.6,,,
2019,8,Aug,DFW,87.4,,,
2019,9,Sep,DFW,85.5,,,
2019,10,Oct,DFW,65.5,,,
2019,11,Nov,DFW,53.5,,,
2019,12,Dec,DFW,50,,,
2015,1,Jan,Austin,46,,,
2015,2,Feb,Austin,49.2,,,
2015,3,Mar,Austin,58.2,,,
2015,4,Apr,Austin,69.5,,,
2015,5,May,Austin,74,,,
2015,6,Jun,Austin,79.1,,,
2015,7,Jul,Austin,83.1,,,
2015,8,Aug,Austin,84.2,,,
2015,9,Sep,Austin,80.5,,,
2015,10,Oct,Austin,71.9,,,
2015,11,Nov,Austin,61,,,
2015,12,Dec,Austin,55.2,,,
2016,1,Jan,Austin,49.3,,,
2016,2,Feb,Austin,56.6,,,
2016,3,Mar,Austin,63.5,,,
2016,4,Apr,Austin,68.1,,,
2016,5,May,Austin,73.5,,,
2016,6,Jun,Austin,82,,,
2016,7,Jul,Austin,86.4,,,
2016,8,Aug,Austin,83,,,
2016,9,Sep,Austin,80.5,,,
2016,10,Oct,Austin,73.3,,,
2016,11,Nov,Austin,64.6,,,
2016,12,Dec,Austin,54.8,,,
2017,1,Jan,Austin,55.4,,,
2017,2,Feb,Austin,63.7,,,
2017,3,Mar,Austin,67.4,,,
2017,4,Apr,Austin,70.7,,,
2017,5,May,Austin,75.5,,,
2017,6,Jun,Austin,83.4,,,
2017,7,Jul,Austin,86.9,,,
2017,8,Aug,Austin,84.4,,,
2017,9,Sep,Austin,78.3,,,
2017,10,Oct,Austin,68.7,,,
2017,11,Nov,Austin,63.9,,,
2017,12,Dec,Austin,50.4,,,
2018,1,Jan,Austin,46.6,,,
2018,2,Feb,Austin,55.5,,,
2018,3,Mar,Austin,64.7,,,
2018,4,Apr,Austin,64.8,,,
2018,5,May,Austin,79.2,,,
2018,6,Jun,Austin,85.4,,,
2018,7,Jul,Austin,86.2,,,
2018,8,Aug,Austin,86.6,,,
2018,9,Sep,Austin,80.4,,,
2018,10,Oct,Austin,69.5,,,
2018,11,Nov,Austin,55.8,,,
2018,12,Dec,Austin,52.5,,,
2019,1,Jan,Austin,50.1,,,
2019,2,Feb,Austin,56,,,
2019,3,Mar,Austin,58.6,,,
2019,4,Apr,Austin,68.2,,,
2019,5,May,Austin,77.3,,,
2019,6,Jun,Austin,82.3,,,
2019,7,Jul,Austin,84.2,,,
2019,8,Aug,Austin,87.2,,,
2019,9,Sep,Austin,85.3,,,
2019,10,Oct,Austin,69.8,,,
2019,11,Nov,Austin,56.8,,,
2019,12,Dec,Austin,52.6,,,
2015,1,Jan,Houston,49.8,,,
2015,2,Feb,Houston,52.6,,,
2015,3,Mar,Houston,62.5,,,
2015,4,Apr,Houston,72.5,,,
2015,5,May,Houston,77,,,
2015,6,Jun,Houston,82.2,,,
2015,7,Jul,Houston,86.1,,,
2015,8,Aug,Houston,85,,,
2015,9,Sep,Houston,79.9,,,
2015,10,Oct,Houston,73.3,,,
2015,11,Nov,Houston,63.1,,,
2015,12,Dec,Houston,59.4,,,
2016,1,Jan,Houston,52.4,,,
2016,2,Feb,Houston,59.1,,,
2016,3,Mar,Houston,65.4,,,
2016,4,Apr,Houston,69,,,
2016,5,May,Houston,74.5,,,
2016,6,Jun,Houston,82.1,,,
